,Abbreviation,FullForm
4780,upmo ,You piss me off
4781,upos ,you piece of s**t
4782,upw ,unidentified party wound
4783,ur ,your
4784,ur2g ,you are too good
4785,ur6c ,you're sexy
4786,ura ,you are a
4787,uradrk ,you're a dork
4788,urafb ,you are a f**king b***h
4789,uraqt ,you are a cutie
4790,urcrzy ,you are crazy
4791,ure ,you are
4792,urg ,you are gay
4793,urht ,you're hot
4794,url ,Uniform Resource Locator
4795,url8 ,you are late
4796,urms ,you rock my socks
4797,urmw ,you are my world
4798,urnc ,you are not cool
4799,urng2bt ,You are not going to believe this 
4800,urs ,yours
4801,ursab ,you are such a b***h
4802,ursdf ,you are so damn fine
4803,ursg ,you are so gay
4804,ursh ,you are so hot
4805,urssb ,you are so sexy baby
4806,urstpid ,you are stupid
4807,urstu ,you are stupid
4808,urtb ,you are the best
4809,urtbitw ,You are the best in the world!
4810,urtrd ,you retard
4811,urtw ,you are the worst
4812,urw ,you are weird
4813,uryyfm ,you are too wise for me
4814,usa ,United States of America
4815,usck ,you suck
4816,usd ,United States Dollar
4817,ussr ,The Union of Soviet Socialist Republics
4818,usuk ,You Suck
4819,usux ,you suck
4820,ut ,unreal tournament
4821,ut ,you there
4822,uta ,up the ass
4823,utfs ,Use the f**king search
4824,utfse ,use the f**king search engine
4825,utm ,you tell me
4826,uttm , you talking to me?
4827,utube ,youtube
4828,utw ,used to work
4829,uty ,it's up to you
4830,uve ,You've
4831,uvgtbsm ,you have got to be shiting me
4832,uw ,you're welcome
4833,uwc ,you are welcome
4834,uya ,up your ass
4835,uyab ,up your ass b***h
4836,wuta ,what you talking about
4837,v4g1n4 ,vagina
4838,vag ,vagina
4839,vajayjay ,vagina
4840,vb ,visual basic
4841,vbeg ,very big evil grin
4842,vbg ,very big grin
4843,vf ,very funny
4844,vfe ,Virgins 4 ever
4845,vff ,Verry f**king Funny
4846,vfm ,value for money
4847,vgg ,very good game
4848,vgh ,Very good hand
4849,vgl ,very good looking
4850,vgn ,Video Game Nerd
4851,vid ,Video
4852,vids ,Videos
4853,vip ,very important person
4854,vleo ,Very Low Earth Orbit
4855,vlog ,video log
4856,vn ,very nice
4857,vnc ,Virtual Network Computing
4858,vnh ,Very nice hand
4859,voip ,voice over ip
4860,vrsty ,Varsity
4861,vry ,very
4862,vs ,versus
4863,vwd ,very well done
4864,vweg ,very wicked evil grin
4865,vzit ,visit
4866,vzn ,verizon
4867,swswta ,so what should we talk about
4868,w'sup ,what's up
4869,w.b.s. ,Write Back Soon
4870,w.e ,Whatever
4871,w.e. ,whatever
4872,w.o.w ,World of Warcraft
4873,w.o.w. ,world of warcraft
4874,w/ ,with
4875,w/b ,write back
4876,w/e ,whatever
4877,w/end ,weekend
4878,w/eva ,whatever
4879,w/o ,with out
4880,w/out ,without
4881,w/u ,with you
4882,w00t ,woohoo
4883,w012d ,word
4884,w2d ,what to do
4885,w2f ,want to f**k
4886,w2g ,Way to go
4887,w2ho ,want to hang out
4888,w2m ,want to meet
4889,w33d ,weed
4890,w8 ,wait
4891,w8am ,wait a minute
4892,w8ing ,waiting
4893,w8t4me ,wait for me
4894,w8ter ,waiter
4895,w911 ,Wife in room
4896,wab ,what a b***h
4897,wad ,without a doubt
4898,wad ^ ,what's up?
4899,wadr ,with all due respect
4900,wadzup ,What's up?
4901,waf ,weird as f**k
4902,wafda ,What a f**king Dumb Ass
4903,wafl ,what a f**king loser
4904,wafm ,wait a f**king minute
4905,wafn ,what a f**ken noob
4906,wai ,what an idiot
4907,waloc ,what a load of crap
4908,walstib ,what a long strange trip it's been
4909,wam ,wait a minute
4910,wamh ,with all my heart
4911,wan2tlk ,Want to talk
4912,wana ,want to
4913,wanafuk ,wanna f**k
4914,wanker ,masturbater
4915,wanking ,Masturbating
4916,wanna ,want to
4917,wansta ,wanna be ganster
4918,warez ,illegally obtained software
4919,wassup ,what's up?
4920,wasup ,What's Up
4921,was^ ,What's Up
4922,wat ,what
4923,wat's^ ,Whats Up
4924,watcha ,what are you
4925,watev ,whatever
4926,wateva ,whatever 
4927,watevr ,whatever
4928,watevs ,whatever
4929,watp ,We Are The People
4930,wats ,whats
4931,wats ^ ,whats up
4932,wats^ ,what's up?
4933,watz ^ ,What's up
4934,wau ,what about you
4935,Waud ,What are you doing 
4936,waug ,Where are you going
4937,wauw ,what are you wearing
4938,wau^2 ,what are you up to?
4939,waw ,what a w***e
4940,waycb ,when are you coming back
4941,wayd ,what are you doing
4942,waygow ,who are you going out with
4943,wayh ,why are you here
4944,wayn ,Where Are You Now
4945,waysttm ,why are you still talking to me
4946,waysw ,Why are you so weird
4947,wayt ,What are you thinking?
4948,wayta ,what are you talking about
4949,wayut ,what are you up to
4950,waz ,what is
4951,waz ^ ,what's up
4952,wazz ,what's
4953,wazza ,what's up
4954,wazzed ,drunk
4955,wazzup ,what's up
4956,waz^ ,what's up?
4957,wb ,welcome back
4958,wbagnfarb ,would be a good name for a rock band
4959,wbb ,will be back
4960,wbbs ,will be back soon
4961,wbk ,Welcome Back
4962,wbp ,Welcome Back Partner
4963,wbrb ,Will be right back
4964,wbs ,write back soon
4965,wbu ,what about you
4966,wby ,what about you
4967,wc ,who cares
4968,wc3 ,Warcraft III
4969,wcb ,welcome back
4970,wcm ,Women Crush Monday
4971,wcutm ,what can you tell me
4972,wcw ,webcam w***e
4973,wd ,well done
4974,wdf ,Worth Dying For
4975,wdhlm ,why doesnt he love me?
4976,wdidn ,what do i do now
4977,wdim ,What Did I miss
4978,wdk ,We Don't Know
4979,wdtm ,what does that mean
4980,wduc ,what do you care
4981,wdum ,what do you mean
4982,wdus ,What Did You Say
4983,wdut ,what do you think?
4984,wdutom ,what do you think of me
4985,wduw ,what do you want
4986,wduwta ,what do you wanna talk about
4987,wduwtta ,what do you want to talk about
4988,wdwdn ,what do we do now
4989,wdwgw ,where did we go wrong
4990,wdya ,why do you ask
4991,wdydt ,why do you do that
4992,wdye ,What do you expect
4993,wdyl ,who do you like
4994,wdym ,what do you mean
4995,wdys ,What did you say
4996,wdyt ,what do you think
4997,wdytia ,who do you think i am?
4998,wdyw ,what do you want
4999,wdywd ,what do you want to do?
5000,wdywta ,what do you wanna talk about
5001,wdywtd ,what do you want to do
5002,wdywtdt ,Why Do You Want To Do That?
5003,wdywtta ,what do you want to talk about
5004,webby ,webcam
5005,weg ,wicked evil grin
5006,welc ,welcome
5007,wen ,when
5008,werkz ,works
5009,wev ,Whatever
5010,weve ,what ever
5011,wevr ,whatever
5012,wfh ,Working From Home
5013,wfhw ,what's for homework
5014,wfm ,Works For Me
5015,wfyb ,whatever floats your boat
5016,wg ,wicked gril
5017,wgac ,who gives a crap
5018,wgaf ,Who gives a f**k
5019,wgas ,who gives a s**t
5020,wgasa ,who gives a s**t anyway
5021,wgo ,what's going on
5022,wgph2 ,Want to go play Halo 2?
5023,wha ,what?
5024,whaddya ,what do you
5025,whaletail ,thong
5026,whatcha ,what are you
5027,whatev ,whatever
5028,whatevs ,whatever
5029,whats ^ ,whats up
5030,what^ ,what's up?
5031,whenevs ,whenever
5032,whevah ,where ever
5033,whever ,whatever
5034,whf ,Wanna have fun?
5035,whit ,with
5036,whodi ,friend
5037,whr ,where
5038,whs ,wanna have sex
5039,wht ,What
5040,whteva ,what ever
5041,whteve ,whatever
5042,whtever ,whatever
5043,whtevr ,whatever
5044,whtvr ,whatever
5045,wht^ ,what up
5046,whubu2 ,what have you been up to
5047,whubut ,what have you been up to
5048,whut ,what
5049,whyb ,where have you been
5050,whyd ,What Have You Done
5051,wid ,with
5052,widout ,without
5053,wieu2 ,What Is Everyone Up To
5054,wif ,With
5055,wiid ,what if i did
5056,wilco ,will comply
5057,winnar ,winner
5058,wio ,without
5059,wip ,Work In progress
5060,wit ,with
5061,witcha ,with you
5062,witfp ,What is the f**king point
5063,witu ,with you
5064,witw ,what in the world
5065,witwct ,What is the world coming too
5066,witwu ,who is there with you
5067,witwwyt ,what in the world were you thinking
5068,wiu ,What is up?
5069,wiuwu ,what is up with you
5070,wiv ,with
5071,wiw ,wife is watching
5072,wiwhu ,wish I was holding you
5073,wiwt ,wish i was there 
5074,wiyp ,what is your problem
5075,wjwd ,What Jesus Would Do
5076,wk ,week
5077,wkd ,wicked
5078,wkend ,weekend
5079,wl ,will
5080,wlc ,welcome
5081,wlcb ,welcome back
5082,wlcm ,welcome
5083,wld ,would
5084,wlkd ,walked
5085,wlos ,wife looking over Shoulder
5086,wltm ,would like to meet
5087,wmao ,working my ass off
5088,wmd ,Weapons Of Mass Destruction
5089,wmgl ,wish me good luck
5090,wml ,Wish Me Luck
5091,wmts ,we must talk soon
5092,wmyb ,What Makes You Beautiful
5093,wmytic ,What makes you think I care
5094,wn ,when
5095,wna ,want to
5096,wnkr ,wanker
5097,wnrn ,why not right now
5098,wnt ,want
5099,wntd ,what not to do
5100,woa ,word of advice
5101,woc ,welcome on cam
5102,wochit ,watch it
5103,woe ,what on earth
5104,woft ,Waste of f**king time
5105,wogge ,what on god's green earth?
5106,wogs ,waste of good sperm
5107,wolo ,we only live once
5108,wom ,word of mouth
5109,wombat ,"waste of money, brains, and time"
5110,woot ,woohoo
5111,wos ,Waste of space
5112,wot ,what
5113,wotevs ,whatever
5114,wotv ,What's on Television?
5115,wotw ,word of the week
5116,woum ,what's on your mind
5117,wowzers ,wow
5118,woz ,was
5119,wp ,wrong person
5120,wpe ,worst president ever (Bush)
5121,wrd ,word
5122,wrdo ,weirdo
5123,wrgad ,who really gives a damn
5124,wrgaf ,Who really gives a f**k?
5125,wrk ,work
5126,wrm ,which reminds me
5127,wrng ,wrong
5128,wrt ,with regard to
5129,wrtg ,writing
5130,wrthls ,Worthless
5131,wru ,where are you
5132,wrud ,what are you doing
5133,wruf ,where are you from
5134,wruu2 ,what are you up to
5135,wryd ,what are you doing
5136,wsb ,wanna cyber?
5137,wsf ,we should f**k
5138,wshtf ,when s**t hits the fan
5139,wsi ,why should I
5140,wsibt ,when should i be there
5141,wsidi ,Why Should I Do It
5142,wsop ,world series of poker
5143,wswta ,What shall we talk about?
5144,wtaf ,What the actual f**k
5145,wtb ,Want to buy
5146,wtbd ,what's the big deal
5147,wtbh ,What the bloody hell
5148,wtc ,what the crap
5149,wtcf ,what the crazy f**k
5150,wtd ,what the deuce
5151,wtf ,what the f**k
5152,wtfaud ,what the f**k are you doing?
5153,wtfay ,who the f**k are you
5154,wtfayd ,what the f**k are you doing
5155,wtfayt ,why the f**k are you talking
5156,wtfayta ,What the f**k are you talking about?
5157,wtfb ,what the f**k b***h
5158,wtfbs ,What the f**k bull s**t
5159,wtfc ,Who The f**k Cares
5160,wtfdik ,what the f**k do i know
5161,wtfdtm ,What the f**k does that mean 
5162,wtfdum ,what the f**k do you mean
5163,wtfduw ,What the f**k do you want?
5164,wtfdyw ,what the f**k do you want
5165,wtfe ,What The f**k Ever
5166,wtfever ,what the f**k ever
5167,wtfg ,What the f**king god
5168,wtfh ,what the f**king hell
5169,wtfhb ,what the f**king hell b***h
5170,wtfhwt ,what the f**king hell was that
5171,wtfigo ,what the f**k is going on
5172,wtfigoh ,what the f**k is going on here
5173,wtfit ,what the f**k is that
5174,wtfits ,what the f**k is this s**t
5175,wtfiu ,what the f**k is up
5176,wtfiup ,what the f**k is your problem
5177,wtfiuwy ,what the f**k is up with you
5178,wtfiwwu ,what the f**k is wrong with you
5179,wtfiwwy ,what the f**k is wrong with you
5180,wtfiyp ,what the f**k is your problem
5181,wtfm ,"what the f**k, mate?"
5182,wtfmf ,what the f**k mother f**ker
5183,wtfo ,what the f**k over
5184,wtfru ,what the f**k are you
5185,wtfrud ,What the f**k are you doing?
5186,wtfrudng ,what the f**k are you doing
5187,wtfrudoin ,what the f**k are you doing
5188,wtfruo ,what the f**k are you on?
5189,wtfruttd ,what the f**k are you trying to do
5190,wtfs ,what the f**king s**t?
5191,wtfuah ,what the f**k you a**h**e
5192,wtful ,What the f**k you loser
5193,wtfwjd ,what the f**k would jesus do
5194,wtfwt ,what the f**k was that
5195,wtfwtd ,what the f**k was that dude
5196,wtfwtf ,what the f**k was that for?
5197,Wtfwydt ,Why the f**k would you do that
5198,wtfya ,what the f**k you a**h**e
5199,wtfyb ,what the f**k you b***h
5200,wtg ,way to go
5201,wtgds ,way to go dumb s**t
5202,wtgp ,Want to go Private
5203,wth ,what the heck
5204,wtharud ,what the heck are you doing
5205,wthau ,who the hell are you
5206,wthauwf ,what the hell are you waiting for
5207,wthay ,who the hell are you
5208,wthayd ,what the heck are you doing
5209,wthaydwmgf ,what the hell are you doing with my girlfriend
5210,wthdydt ,why the hell did you do that
5211,wthhyb ,where the hell have you been?
5212,wthigo ,what the hell is going on
5213,wthiwwu ,What the hell is wrong with you
5214,wtho ,want to hang out?
5215,wthru ,Who the heck are you
5216,wthrud ,what the hell are you doing?
5217,wths ,want to have sex
5218,wthswm ,want to have sex with me
5219,wthwt ,what the hell was that?
5220,wthwut ,what the hell were you thinking
5221,wthyi ,what the hell you idiot
5222,wtii ,what time is it
5223,wtiiot ,What time is it over there?
5224,wtityb ,"whatever, tell it to your blog"
5225,wtly ,Welcome to last year
5226,wtmf ,what the mother f**k
5227,wtmfh ,what the mother f**king hell
5228,wtmi ,way too much information
5229,wtmtr ,what's the matter
5230,wtp ,where's the party
5231,wtrud ,what are you doing
5232,wts ,want to sell
5233,wtt ,want to trade
5234,wttp ,want to trade pictures?
5235,wtv ,Whatever
5236,wtva ,whatever
5237,wtvr ,whatever
5238,wtwm ,what time are we meeting?
5239,wtwr ,well that was random
5240,wu ,what's up
5241,wu ,what's up?
5242,wu2kilu ,want you to know I love you
5243,wub ,love
5244,wubmgf ,Will You Be My Girlfriend?
5245,wubu2 ,what you been up to
5246,wubut ,what you been up too
5247,WUCIWUG ,what you see is what you get
5248,wud ,would
5249,wudev ,Whatever
5250,wudn ,what you doing now
5251,wufa ,where you from again
5252,wugowm ,will you go out with me
5253,wula ,what you looking at?
5254,wuld ,would
5255,wuny ,wait until next year
5256,wussup ,What is up?
5257,wut ,what
5258,wutb ,What are you talking about
5259,wutcha ,What are you
5260,wuteva ,whatever
5261,wutevr ,what ever
5262,wuts ,what is
5263,wutup ,What's Up
5264,wuu2 ,what you up too
5265,wuu2 ,what you up to
5266,wuu22m ,what you up to tomorrow
5267,wuut ,what you up to
5268,wuv ,love
5269,wuwh ,Wish you were here
5270,wuwt ,what's up with that
5271,wuwta ,what do you want to talk about
5272,wuwtab ,what do you want to talk about
5273,wuwtb ,what do you want to talk about
5274,wuwtta ,what you want to talk about
5275,wuwttb ,What you want to talk about 
5276,wuwu ,what up with you
5277,wuz ,was
5278,wuza ,what's up
5279,wuzup ,what's up
5280,WW2 ,World War 2
5281,wwc ,who would care
5282,wwcnd ,What would Chuck Norris do
5283,wwdhd ,What would David Hasselhoff do
5284,wwe ,World Wrestling Entertainment
5285,wwgf ,when we gonna f**k
5286,wwhw ,when where how why
5287,wwikt ,why would i know that
5288,wwjd ,what would jesus do?
5289,wwt ,what was that
5290,wwtf ,what was that for
5291,wwudtm ,what would you do to me
5292,wwut ,what were you thinking
5293,www ,world wide web
5294,wwwu ,whats wrong with you
5295,wwwy ,what's wrong with you
5296,wwy ,where were you
5297,wwycm ,when will you call me
5298,wwyd ,what would you do?
5299,wwyd2m ,what would you do to me
5300,wwygac ,write when you get a chance
5301,wwyt ,What were you thinking
5302,wy ,Why?
5303,wyas ,wow you are stupid
5304,wyatb ,wish you all the best
5305,wyauimg ,Why you all up in my grill?
5306,wyb ,Watch your back
5307,wybts ,were you born this sexy
5308,wyc ,will you come
5309,wycm ,Will You Call Me
5310,wyd ,what are you doing
5311,wyg ,will you go
5312,wygac ,when you get a chance
5313,wygam ,When you get a minute
5314,wygowm ,Will you go out with me
5315,wygwm ,will you go with me
5316,wyhi ,Would You Hit It?
5317,wyhswm ,would you have sex with me
5318,wylion ,whether you like it or not
5319,wyltk ,wouldn't you like to know
5320,wylym ,Watch Your Language Young Man
5321,wym ,What You Mean?
5322,wyn ,What's your name
5323,wyp ,what's your problem?
5324,wypsu ,will you please shut up
5325,wys ,wow you're stupid
5326,wysiayg ,what you see is all you get
5327,wysitwirl ,what you see is totally worthless in real life
5328,wysiwyg ,what you see is what you get
5329,Wyut ,What you up to
5330,wyw ,What You Want
5331,wywh ,wish you were here
5332,wywo ,while you were out
5333,w\e ,whatever
5334,txtms ,text me soon
5335,x treme ,extreme
5336,xb36t ,Xbox 360
5337,xbf ,ex-boyfriend
5338,xbl ,xbox live
5339,xcept ,except
5340,xcpt ,except
5341,xd ,extreme droll
5342,xellent ,excellent
5343,xfer ,transfer
5344,xgf ,exgirlfriend
5345,xing ,crossing
5346,xit ,Exit
5347,xl ,extra large
5348,xlnt ,Excellent
5349,xmas ,christmas
5350,xmpl ,example
5351,xoac ,Christ on a crutch
5352,xor ,hacker
5353,xover ,crossover
5354,xox ,hugs and kisses
5355,xoxo ,hugs and kisses
5356,xp ,experience
5357,xpect ,expect
5358,xplaned ,explained
5359,xpt ,except
5360,xroads ,crossroads
5361,xs ,excess
5362,xtc ,ecstasy
5363,xtra ,extra
5364,xtreme ,extreme
5365,xyz ,examine your zipper
5366,xyzpdq ,Examine Your Zipper Pretty Darn Quick
5367,aygs ,are you going somewhere
5368,AYOR ,At Your Own Risk
5369,LYMYWY ,"Love You, Miss You, Want You"
5370,Wygf ,What You Going For
5371,y ,why
5372,y w ,you're welcome
5373,y!a ,yahoo answers
5374,y'all ,you all
5375,y/n ,yes or no
5376,y/o ,Years Old
5377,y00 ,you
5378,y2b ,Youtube
5379,y2k ,year 2000
5380,ya ,yeah
5381,yaab ,You are a b***h 
5382,yaaf ,you are a f**
5383,yaafm ,You Are A f**king Moron
5384,yaagf ,you are a good friend
5385,yaai ,You are an idiot
5386,yaf ,you're a f**
5387,yafi ,you're a f**king idiot
5388,yag ,you are gay
5389,yall ,you all
5390,yapa ,yet another pointless acronym
5391,yaqw ,You are quite welcome
5392,yarly ,yeah really
5393,yas ,you are stupid
5394,yasan ,You are such a nerd
5395,yasf ,you are so funny
5396,yasfg ,you are so f**king gay
5397,yasg ,you are so gay
5398,yasw ,you are so weird
5399,yatb ,you are the best
5400,yatwl ,you are the weakest link
5401,yaw ,you are welcome
5402,yayo ,cocaine
5403,ybbg ,Your Brother By Grace
5404,ybs ,you'll be sorry
5405,ybya ,you bet your ass
5406,ycliu ,You could look it up
5407,ycmtsu ,You Can't Make This s**t Up
5408,ycntu ,Why Cant You?
5409,yctwuw ,you can think what you want
5410,ydpos ,you dumb piece of s**t
5411,ydtm ,You're dead to me
5412,ydufc ,Why do f**king care?
5413,yduwtk ,why do you want to know
5414,ye ,yeah
5415,yea ,yeah
5416,yeh ,yes
5417,yer ,you're
5418,yermom ,your mother
5419,yesh ,yes
5420,yew ,you
5421,yfb ,you f**king b*****d
5422,yfg ,you're f**king gay
5423,yfi ,you f**king idiot
5424,ygg ,you go girl
5425,ygm ,You Got Mail
5426,ygp ,you got punked!
5427,ygpm ,you've got a private message
5428,ygrr ,you got rick rolled
5429,ygtbfkm ,you've got to be f**king kidding me
5430,ygtbk ,you've got to be kidding
5431,ygtbkm ,you got to be kidding me
5432,ygtbsm ,You've got to be shitting me
5433,ygtsr ,you got that s**t right
5434,yh ,yeah
5435,yhbt ,you've been trolled
5436,yhew ,you
5437,yhf ,you have failed
5438,yhgtbsm ,You Have Got To Be Shitting Me
5439,yhl ,you have lost
5440,yhm ,You have mail
5441,yhni ,you have no idea
5442,yhpm ,you have a private messge
5443,yhtbt ,You Had To Be There
5444,yid ,"yes, I do"
5445,yim ,yahoo instant messenger
5446,yiwtgo ,"Yes, I want to go private"
5447,yk ,you kidding
5448,yki ,You know it
5449,ykisa ,Your knight in shining armor
5450,ykm ,You're killing me
5451,ykn ,you know nothing
5452,ykw ,You Know What
5453,ykwim ,you know what I mean
5454,ykwya ,you know who you are
5455,ykywywm ,you know you wish you were me
5456,ylb ,you little b***h
5457,ym ,your mom
5458,ymbg ,you must be guessing
5459,ymbkm ,you must be kidding me
5460,yme ,why me
5461,ymfp ,Your Most Favorite Person
5462,ymg2c ,your mom goes to college
5463,ymgtc ,Your Mom Goes To college
5464,ymiaw ,your mom is a w***e
5465,ymislidi ,you make it sound like i did it
5466,ymmd ,You Made My Day
5467,ymmv ,your mileage may vary
5468,ymrasu ,"Yes, My Retarded Ass Signed Up"
5469,yn ,why not
5470,yng ,young
5471,ynk ,you never know
5472,ynm ,"yes, no, maybe"
5473,ynt ,why not
5474,ynw ,you know what
5475,yo ,year old
5476,yo' ,your
5477,yodo ,you only die once
5478,yolo ,you only live once
5479,yolt ,you only live twice
5480,yomank ,you owe me a new keyboard
5481,yooh ,you
5482,yor ,your
5483,youngin ,young person
5484,yoy ,why oh why
5485,ypmf ,you pissed me off
5486,ypmo ,you piss me off
5487,ypom ,your place or mine
5488,yqw ,you're quite welcome
5489,yr ,year
5490,yrbk ,Yearbook
5491,yrms ,You Rock My Socks
5492,yrs ,years
5493,yrsaf ,You Are Such A Fool 
5494,yrsm ,you really scare me
5495,yrss ,you are so sexy
5496,yru ,why are you?
5497,yrubm ,why are you bugging me?
5498,yrusm ,Why are you so mean
5499,ys ,you suck
5500,ysa ,You Suck Ass
5501,ysal ,you suck at life
5502,ysati ,you suck at the internet
5503,ysf ,you stupid f**k
5504,ysic ,why should I care
5505,ysitm ,your shirt is too small
5506,ysk ,you should know
5507,ysm ,you scare me
5508,ysoab ,You son of a b***h
5509,yss ,you stupid s**t
5510,Ystrdy ,Yesterday
5511,yswnt ,why sleep when not tired?
5512,yt ,You there?
5513,ytd ,year to date
5514,ytf ,why the f**k
5515,ytfwudt ,why the f**k would you do that?
5516,ythwudt ,Why the hell would you do that
5517,ytis ,You think I'm special?
5518,ytm ,you tell me
5519,ytmnd ,"You're the man now, dog!"
5520,yty ,why thank you
5521,yu ,You
5522,yua ,you ugly ass
5523,yuo ,you
5524,yup ,yes
5525,yur ,your
5526,yust ,why you say that
5527,yvfw ,you're very f**king welcome
5528,yvw ,you're very welcome
5529,yw ,you're welcome
5530,ywapom ,you want a piece of me?
5531,ywia ,You're welcome in advance
5532,ywic ,why would i care
5533,yws ,you want sex
5534,ywsyls ,you win some you lose some
5535,ywud ,yo whats up dude
5536,ywvm ,you're welcome very much
5537,ywywm ,you wish you were me
5538,yysw ,"yeah, yeah, sure, whatever"
5539,z'omg ,Oh my God
5540,z0mg ,oh my god
5541,zex ,sex
5542,zh ,Zero Hour
5543,zig ,cigarette
5544,zomfg ,oh my f**king god
5545,zomg ,Oh my God
5546,zomgzorrz ,oh my god
5547,zoot ,woohoo
5548,zot ,Zero Tolerance
5549,zt ,zoo tycoon
5550,zup ,what's up?
